Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
__first;/usr/include/c++/5/bits/stl_algobase.h;462;2.7084646224975586;0-13;Random bit-flip;0
this;solution.cpp;0;4.2922210693359375;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;436;3.442809820175171;0-13;Random bit-flip;0
neigh;solution.cpp;65;1.855395793914795;0-13;Random bit-flip;0
_Num;/usr/include/c++/5/bits/stl_algobase.h;382;4.390317440032959;0-13;Random bit-flip;0
stationIndex;solution.cpp;19;1.0857031345367432;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;436;2.909093141555786;0-13;Random bit-flip;0
this;simulatedannealing.cpp;0;6.278947591781616;0-13;Random bit-flip;0
this;solution.cpp;0;7.485563278198242;0-13;Random bit-flip;0
neigh;solution.cpp;65;4.243629455566406;0-13;Random bit-flip;0
this;solution.cpp;0;3.266649007797241;0-13;Random bit-flip;0
__it;/usr/include/c++/5/bits/predefined_ops.h;70;1.971121072769165;0-13;Random bit-flip;0
this;simulatedannealing.cpp;0;8.72985053062439;0-13;Random bit-flip;0
this;solution.cpp;0;5.993043899536133;0-13;Random bit-flip;0
this;solution.cpp;0;3.0399351119995117;0-13;Random bit-flip;0
__first1;/usr/include/c++/5/bits/stl_algobase.h;1057;4.934805870056152;0-13;Random bit-flip;0
neigh;solution.cpp;65;7.053847074508667;0-13;Random bit-flip;0
randtbl;random.c;146;4.126241207122803;0-13;Random bit-flip;0
this;solution.cpp;0;10.23417329788208;0-13;Random bit-flip;0
this;solution.cpp;0;3.8838272094726562;0-13;Random bit-flip;0
this;solution.cpp;0;1.576000452041626;0-13;Random bit-flip;0
loop;simulatedannealing.cpp;38;4.577823638916016;0-13;Random bit-flip;0
this;solution.cpp;0;3.6462011337280273;0-13;Random bit-flip;0
this;solution.cpp;0;4.691277027130127;0-13;Random bit-flip;0
this;solution.cpp;0;2.588479995727539;0-13;Random bit-flip;0
this;solution.cpp;0;8.068221807479858;0-13;Random bit-flip;0
__first1;/usr/include/c++/5/bits/stl_algobase.h;837;10.28921127319336;0-13;Random bit-flip;0
__tmp;/usr/include/c++/5/bits/vector.tcc;194;1.9215114116668701;0-13;Random bit-flip;0
this;solution.cpp;0;2.425692081451416;0-13;Random bit-flip;0
neigh;solution.cpp;65;5.885164260864258;0-13;Random bit-flip;0
this;solution.cpp;0;3.489513397216797;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;436;2.5225532054901123;0-13;Random bit-flip;0
this;solution.cpp;0;8.639700651168823;0-13;Random bit-flip;0
__simple;/usr/include/c++/5/bits/stl_algobase.h;396;4.412674903869629;0-13;Random bit-flip;0
this;solution.cpp;0;4.165038585662842;0-13;Random bit-flip;0
neigh;solution.cpp;65;5.540366172790527;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;462;8.070732116699219;0-13;Random bit-flip;0
this;solution.cpp;0;7.732380628585815;0-13;Random bit-flip;0
this;instance.cpp;0;2.905027151107788;0-13;Random bit-flip;0
neigh;solution.cpp;65;2.867845058441162;0-13;Random bit-flip;0
sa;salbp1-sa.cpp;21;6.209303855895996;0-13;Random bit-flip;0
this;solution.cpp;0;2.207576036453247;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;462;1.7467772960662842;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algo.h;4689;2.428018093109131;0-13;Random bit-flip;0
neigh;solution.cpp;65;1.5442039966583252;0-13;Random bit-flip;0
this;solution.cpp;0;3.155259132385254;0-13;Random bit-flip;0
this;solution.cpp;0;3.0300748348236084;0-13;Random bit-flip;0
__for_begin;solution.cpp;0;10.368910312652588;0-13;Random bit-flip;0
this;solution.cpp;0;6.425958633422852;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;462;2.1503350734710693;0-13;Random bit-flip;0
__cut;/usr/include/c++/5/bits/stl_algo.h;1947;1.3557765483856201;0-13;Random bit-flip;0
this;solution.cpp;0;2.0124387741088867;0-13;Random bit-flip;0
this;solution.cpp;0;2.4426517486572266;0-13;Random bit-flip;0
instance;salbp1-sa.cpp;19;1.3268039226531982;0-13;Random bit-flip;0
neigh;solution.cpp;65;6.366400718688965;0-13;Random bit-flip;0
__x;/usr/include/c++/5/bits/vector.tcc;168;4.002701044082642;0-13;Random bit-flip;0
neigh;solution.cpp;65;10.509631395339966;0-13;Random bit-flip;0
this;instance.cpp;0;3.882702589035034;0-13;Random bit-flip;0
this;solution.cpp;0;1.647946834564209;0-13;Random bit-flip;0
__i;/usr/include/c++/5/bits/stl_iterator.h;740;4.421057224273682;0-13;Random bit-flip;0
this;instance.cpp;0;9.091800928115845;0-13;Random bit-flip;0
sa;salbp1-sa.cpp;21;3.272397994995117;0-13;Random bit-flip;0
this;solution.cpp;0;4.992419481277466;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;436;4.4687793254852295;0-13;Random bit-flip;0
this;solution.cpp;0;6.290358066558838;0-13;Random bit-flip;0
this;solution.cpp;0;3.952753782272339;0-13;Random bit-flip;0
sa;salbp1-sa.cpp;21;1.59684419631958;0-13;Random bit-flip;0
neigh;solution.cpp;65;8.163154363632202;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;462;2.4837405681610107;0-13;Random bit-flip;0
this;solution.cpp;0;4.082413673400879;0-13;Random bit-flip;0
neigh;solution.cpp;65;2.2104341983795166;0-13;Random bit-flip;0
neigh;solution.cpp;65;6.141209363937378;0-13;Random bit-flip;0
neigh;solution.cpp;65;6.490544557571411;0-13;Random bit-flip;0
neigh;solution.cpp;65;5.5344274044036865;0-13;Random bit-flip;0
this;solution.cpp;0;1.694944143295288;0-13;Random bit-flip;0
neigh;solution.cpp;65;5.868910074234009;0-13;Random bit-flip;0
neigh;solution.cpp;65;1.841418743133545;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;391;12.884530544281006;0-13;Random bit-flip;0
this;solution.cpp;0;2.1636905670166016;0-13;Random bit-flip;0
this;solution.cpp;0;3.4446260929107666;0-13;Random bit-flip;0
__last;/usr/include/c++/5/bits/stl_algo.h;1836;1.6284329891204834;0-13;Random bit-flip;0
neigh;solution.cpp;65;1.5546271800994873;0-13;Random bit-flip;0
this;solution.cpp;0;3.801814079284668;0-13;Random bit-flip;0
__next;/usr/include/c++/5/bits/stl_algo.h;947;1.521916389465332;0-13;Random bit-flip;0
__x;/usr/include/c++/5/bits/stl_vector.h;1511;1.680224895477295;0-13;Random bit-flip;0
this;simulatedannealing.cpp;0;2.2686777114868164;0-13;Random bit-flip;0
this;solution.cpp;0;5.259685277938843;0-13;Random bit-flip;0
this;solution.cpp;0;2.086594820022583;0-13;Random bit-flip;0
__first2;/usr/include/c++/5/bits/stl_algobase.h;837;9.179378271102905;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;593;6.958997011184692;0-13;Random bit-flip;0
__it;/usr/include/c++/5/bits/stl_algobase.h;293;2.6541688442230225;0-13;Random bit-flip;0
this;simulatedannealing.cpp;0;4.455896615982056;0-13;Random bit-flip;0
__first;/usr/include/c++/5/bits/stl_algobase.h;436;2.9163737297058105;0-13;Random bit-flip;0
__mid;/usr/include/c++/5/bits/stl_algo.h;1915;1.8837931156158447;0-13;Random bit-flip;0
this;instance.cpp;0;7.0104429721832275;0-13;Random bit-flip;1
this;instance.cpp;0;2.302394151687622;0-13;Random bit-flip;1
disallow_malloc_check;hooks.c;68;2.7643120288848877;0-13;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_construct.h;100;4.885444641113281;0-13;Random bit-flip;1
__xlen;/usr/include/c++/5/bits/vector.tcc;191;2.614114284515381;0-13;Random bit-flip;1
